province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Guangdong ,2026,Jieyang City,445200,35000,广东,揭阳
Hubei ,2026,Yichang City,420500,100000,湖北,宜昌
Shaanxi ,2026,Tongchuan City,610200,10000,陕西,铜川
Fujian ,2026,Nanping City,350700,18000,福建,南平
Guizhou ,2026,Zunyi City ,520300,40000,贵州,遵义
Hunan ,2026,Yiyang City,430900,30000,湖南,益阳
Inner Mongolia,2026,Ulanqab City,150900,2000,内蒙古,乌兰察布
Fujian ,2026,Longyan City,350800,10000,福建,龙岩
Guangdong ,2026,Meizhou City,441400,10000,广东,梅州
Shandong ,2026,Linyi City,371300,60000,山东,临沂
Anhui ,2026,Huaibei City,340600,50000,安徽,淮北
Hunan ,2026,Changsha City,430100,7000,湖南,长沙
Shandong ,2026,Linyi City,371300,60000,山东,临沂
Hebei ,2026,Cangzhou City,130900,60000,河北,沧州
Fujian ,2026,Longyan City,350800,40000,福建,龙岩
Guangxi ,2026,Guilin City,450300,50000,广西,桂林
Guangxi ,2026,Guilin City,450300,50000,广西,桂林
Guangdong ,2026,Zhaoqing City,441200,78000,广东,肇庆
Guangxi ,2026,Nanning City,450100,46300,广西,南宁
Hunan ,2026,Changsha City,430100,100000,湖南,长沙
Fujian ,2026,Nanping City,350700,20000,福建,南平
Hubei ,2026,Jingmen City,420800,70000,湖北,荆门
Hunan ,2026,Hengyang City,430400,20000,湖南,衡阳
Shandong ,2026,Linyi City,371300,50000,山东,临沂
Jiangxi ,2026,Ganzhou City,360700,10000,江西,赣州
Anhui ,2026,Fuyang City,341200,20000,安徽,阜阳
Chongqing,2026,Chongqing City,500000,30000,重庆,重庆
Jiangsu ,2026,Suzhou City (Jiangsu),320500,10000,江苏,苏州
Hebei ,2026,Cangzhou City,130900,60000,河北,沧州
Jiangxi ,2026,Jiujiang City,360400,30000,江西,九江
Hubei ,2026,Jingmen City,420800,30000,湖北,荆门
Anhui ,2026,Chizhou City,341700,100000,安徽,池州
Shanxi ,2026,Yuncheng City,140800,40000,山西,运城
Shanxi ,2026,Yuncheng City,140800,50000,山西,运城
Anhui ,2026,Huaibei City,340600,40000,安徽,淮北
Anhui ,2026,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2026,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2026,Fuyang City,341200,4000,安徽,阜阳
Jiangxi ,2026,Ganzhou City,360700,8000,江西,赣州
Shandong ,2026,Dezhou City,371400,10000,山东,德州
Shandong ,2026,Dezhou City,371400,10000,山东,德州
Jiangxi ,2026,Ganzhou City,360700,78000,江西,赣州
Hubei ,2026,Xiantao City,429004,20000,湖北,仙桃
Anhui ,2026,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2026,Fuyang City,341200,6800,安徽,阜阳
Hunan ,2026,Yiyang City,430900,2000,湖南,益阳
Hunan ,2026,Huaihua City,431200,25000,湖南,怀化
Hunan ,2026,Huaihua City,431200,25000,湖南,怀化
Jiangxi ,2026,Ganzhou City,360700,50000,江西,赣州
Sichuan ,2026,Suining City,510900,100000,四川,遂宁
Shandong ,2026,Tai'an City,370900,10000,山东,泰安
Guangdong ,2026,Zhuhai City,440400,50000,广东,珠海
Hunan ,2026,Yueyang City,430600,10000,湖南,岳阳
Shanxi ,2026,Lvliang City,141100,50000,山西,吕梁
Hubei ,2026,Wuhan City,420100,20000,湖北,武汉
Guangdong ,2026,Guangzhou City,440100,15000,广东,广州
Guangdong ,2026,Jiangmen City,440700,300000,广东,江门
Sichuan ,2026,Yibin City,511500,100000,四川,宜宾
Shandong ,2026,Linyi City,371300,60000,山东,临沂
Inner Mongolia,2026,Ulanqab City,150900,25000,内蒙古,乌兰察布
Chongqing,2026,Chongqing City,500000,50000,重庆,重庆
Jiangsu ,2026,Lianyungang City,320700,8000,江苏,连云港
Guangdong ,2026,Huizhou City,441300,80000,广东,惠州
Guangxi ,2026,Nanning City,450100,70000,广西,南宁
Jiangxi ,2026,Ganzhou City,360700,150000,江西,赣州
Hunan ,2026,Chenzhou City,431000,100000,湖南,郴州
Anhui ,2026,Hefei City,340100,6000,安徽,合肥
Guangdong ,2026,Shaoguan City,440200,8000,广东,韶关
Henan ,2026,Sanmenxia City,411200,30000,河南,三门峡
