year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2026,jiangsu,77117.87874300001,34000.0,43117.878743,431178.78743,77117.87874300001,0.0,baseline_inprov
2026,jiangxi,20013.362474999998,12076.675267125,8086.178633375,80861.78633375,20162.8539005,0.0,baseline_inprov
2026,jilin,8199.1109338,4304.533240245,3894.5776935549998,38945.77693555,8199.1109338,0.0,baseline_inprov
2026,liaoning,12474.8269494,0.0,12474.8269494,124748.26949400001,12474.8269494,0.0,baseline_inprov
2026,ningxia,2619.3811272000003,1375.1750917800002,1244.2060354199998,12442.060354199999,2619.3811272000003,0.0,baseline_inprov
2026,qinghai,1775.64486599,0.0,1775.64486599,17756.4486599,1775.64486599,0.0,baseline_inprov
2026,shaanxi,29118.6318153,15287.2817030325,13831.350112267499,138313.501122675,29118.6318153,0.0,baseline_inprov
2026,shandong,71472.894291,43752.880694775005,28313.309900225,283133.09900225,72066.19059500001,0.0,baseline_inprov
2026,shanghai,62409.30516,10000.0,52409.30516,524093.0516,62409.30516,0.0,baseline_inprov
2026,shanxi,24445.5620413,15051.9583196325,9604.8454595675,96048.454595675,24656.8037792,0.0,baseline_inprov
2026,sichuan,57291.2040497,30077.8821260925,27213.3219236075,272133.219236075,57291.2040497,0.0,baseline_inprov
2026,tianjin,26954.1699,0.0,26954.1699,269541.699,26954.1699,0.0,baseline_inprov
2026,tibet,552.03999748,0.0,552.03999748,5520.3999748,552.03999748,0.0,baseline_inprov
2026,xinjiang,7004.34803902,0.0,7004.34803902,70043.4803902,7004.34803902,0.0,baseline_inprov
2026,yunnan,20076.8684887,10000.0,10076.8684887,100768.68488700001,20076.868488699998,0.0,baseline_inprov
2026,zhejiang,95150.4890601,61912.4344125525,34376.9525195475,343769.525195475,96289.3869321,0.0,baseline_inprov
2027,anhui,51623.4711887,26844.205018124,24779.266170576,247792.66170576,51623.4711887,0.0,baseline_inprov
2027,beijing,70925.10091,0.0,70925.10091,709251.0090999999,70925.10091,0.0,baseline_inprov
2027,chongqing,40943.54376,21290.642755200002,19652.9010048,196529.01004799997,40943.54376,0.0,baseline_inprov
2027,fujian,48823.287638,25388.10957176,23435.178066239998,234351.78066239998,48823.287637999994,0.0,baseline_inprov
2027,gansu,10368.16287672,5391.4446958944,4976.7181808256,49767.181808256006,10368.16287672,0.0,baseline_inprov
2027,guangdong,268859.2113364,139806.78989492802,129052.421441472,1290524.2144147202,268859.2113364,0.0,baseline_inprov
2027,guangxi,46231.6353971,24040.450406492,22191.184990608,221911.84990608,46231.6353971,0.0,baseline_inprov
2027,guizhou,25427.675579,13222.39130108,12205.28427792,122052.8427792,25427.675579000002,0.0,baseline_inprov
2027,hainan,25903.14747923,0.0,25903.14747923,259031.4747923,25903.14747923,0.0,baseline_inprov
2027,hebei,85065.734242,58061.260331360005,28068.095335680002,280680.9533568,86129.35566704001,0.0,baseline_inprov
2027,heilongjiang,12751.41558629,0.0,12751.41558629,127514.15586289999,12751.41558629,0.0,baseline_inprov
2027,henan,95841.6875326,49837.677516952004,46004.010015648,460040.10015648,95841.6875326,0.0,baseline_inprov
2027,hubei,57676.4468728,29991.752373856,27684.694498943998,276846.94498944,57676.4468728,0.0,baseline_inprov
2027,hunan,54121.6690056,28143.267882912,25978.401122688,259784.01122688,54121.6690056,0.0,baseline_inprov
2027,inner mongolia,14987.36048675,7793.42745311,7193.933033639999,71939.33033639999,14987.36048675,0.0,baseline_inprov
2027,jiangsu,127336.920508,66215.19866416001,61121.72184384,611217.2184384001,127336.92050800001,0.0,baseline_inprov
